college_name,college_type,financial_aid,major,roi,total_cost
Stanford University(Private),private,,art,716000,255000
Georgia Institute of Technology-Main Campus(In-State),instate,,art,517000,101000
Fashion Institute of Technology(In-State),instate,,art,443000,89000
Georgia Institute of Technology-Main Campus(Out-of-State),outofstate,,art,438000,180000
Cornell University(Private),private,,art,435000,258000
Harvard University(Private),private,,art,433000,254000
Yale University(Private),private,,art,427000,261000
California College of the Arts(Private),private,,art,425000,237000
Columbia University in the City of New York(Private),private,,art,424000,272000
University of California-Los Angeles(In-State),instate,,art,420000,133000
San Jose State University(In-State),instate,,art,408000,102000
Fashion Institute of Technology(Out-of-State),outofstate,,art,407000,125000
University of Cincinnati-Main Campus(In-State),instate,,art,400000,111000
Syracuse University(Private),private,,art,396000,241000
Wellesley College(Private),private,,art,393000,250000
University of California-Davis(In-State),instate,,art,391000,136000
The New School(Private),private,,art,378000,256000
Cooper Union for the Advancement of Science and Art(Private),private,,art,376000,247000
California Polytechnic State University-San Luis Obispo(In-State),instate,,art,370000,100000
San Jose State University(Out-of-State),outofstate,,art,364000,147000
American University(Private),private,,art,359000,239000
Laguna College of Art and Design(Private),private,,art,359000,181000
Rhode Island School of Design(Private),private,,art,359000,255000
North Carolina State University at Raleigh(In-State),instate,,art,354000,90600
University of Virginia-Main Campus(In-State),instate,,art,351000,114000
Otis College of Art and Design(Private),private,,art,347000,233000
University of Michigan-Ann Arbor(In-State),instate,,art,345000,110000
University of Cincinnati-Main Campus(Out-of-State),outofstate,,art,339000,172000
University of Notre Dame(Private),private,,art,339000,254000
Carnegie Mellon University(Private),private,,art,337000,260000
Brigham Young University-Provo(Private),private,,art,332000,71100
Northeastern University(Private),private,,art,331000,247000
University of California-Santa Cruz(In-State),instate,,art,329000,138000
University of California-Berkeley(In-State),instate,,art,327000,139000
Wesleyan University(Private),private,,art,327000,260000
California Polytechnic State University-San Luis Obispo(Out-of-State),outofstate,,art,326000,145000
University of California-Los Angeles(Out-of-State),outofstate,,art,323000,230000
Virginia Polytechnic Institute and State University(In-State),instate,,art,319000,103000
San Francisco State University(In-State),instate,,art,317000,97900
Brown University(Private),private,,art,316000,257000
University of Washington-Seattle Campus(In-State),instate,,art,314000,107000
