state_name,degree_type,college_name,early_salary,mid_salary,per_stem
Alabama,bachelors,Auburn University,54400,104500,31
Alabama,bachelors,University of Alabama in Huntsville,57500,103900,45
Alabama,bachelors,The University of Alabama,52300,97400,15
Alabama,bachelors,Tuskegee University,54500,93500,30
Alabama,bachelors,Samford University,48400,90500,3
Alabama,bachelors,Spring Hill College,46600,89100,12
Alabama,bachelors,Birmingham Southern College,49100,88300,27
Alabama,bachelors,University of Alabama at Birmingham,48600,87200,17
Alabama,bachelors,University of South Alabama,47700,86400,17
Alabama,bachelors,Alabama A & M University,48700,83500,20
Alabama,bachelors,Troy University,44500,81500,8
Alabama,bachelors,Jacksonville State University,43800,80000,7
Alabama,bachelors,Auburn University at Montgomery,45000,79600,12
Alabama,bachelors,Huntingdon College,42400,78900,14
Alabama,bachelors,Oakwood University,43500,78800,16
Alabama,bachelors,Athens State University,45000,78800,9
Alabama,bachelors,University of West Alabama,42700,76100,4
Alabama,bachelors,University of North Alabama,43000,75600,6
Alabama,bachelors,University of Mobile,40600,74100,7
Alabama,bachelors,Alabama State University,39800,71500,16
Alabama,bachelors,Faulkner University,39400,71300,2
Alabama,bachelors,University of Montevallo,38900,70700,7
Alabama,bachelors,Judson College,37900,67600,13
Alabama,bachelors,Amridge University,35700,65900,0
Alabama,bachelors,Miles College,34800,65100,19
Alabama,bachelors,Stillman College,35600,63500,24
Alabama,bachelors,Talladega College,34100,62800,22
Alabama,associates,University of West Alabama,48300,67400,4
Alabama,associates,Herzing University-Birmingham,39800,62700,4
Alabama,associates,Troy University,39600,62300,8
Alabama,associates,George C Wallace State Community College-Hanceville,41600,60700,2
Alabama,associates,George C Wallace State Community College-Selma,40100,60200,0
Alabama,associates,Jefferson Davis Community College,42500,59600,0
Alabama,associates,George C Wallace Community College-Dothan,38700,58800,2
Alabama,associates,John C Calhoun State Community College,38300,58400,2
Alabama,associates,Gadsden State Community College,37900,58200,2
Alabama,associates,Northwest-Shoals Community College,39400,57400,1
Alabama,associates,Alabama Southern Community College,38800,57400,0
Alabama,associates,Chattahoochee Valley Community College,38100,57300,2
Alabama,associates,Remington College-Mobile Campus,36700,57100,4
Alabama,associates,Bevill State Community College,39500,57000,3
Alabama,associates,Lurleen B Wallace Community College,36700,56500,3
Alabama,associates,Jefferson State Community College,38100,56500,5
Alabama,associates,Enterprise State Community College,35700,55900,0
Alabama,associates,Central Alabama Community College,39000,55500,1
Alabama,associates,Southern Union State Community College,38700,55300,0
Alabama,associates,Bishop State Community College,40700,55100,2
Alabama,associates,J. F. Drake State Community and Technical College,37500,54500,8
Alabama,associates,Shelton State Community College,38800,54300,0
Alabama,associates,Northeast Alabama Community College,35400,53700,1
Alabama,associates,Lawson State Community College-Birmingham Campus,35700,53100,4
Alabama,associates,Faulkner University,34300,50500,2
Alabama,associates,Snead State Community College,34500,49800,5
Alabama,associates,Coastal Alabama Community College,33200,48900,2
Alaska,bachelors,University of Alaska Fairbanks,59100,101800,20
Alaska,bachelors,University of Alaska Anchorage,56000,101000,10
Alaska,bachelors,Alaska Pacific University,50300,90000,6
Alaska,associates,University of Alaska Fairbanks,47900,70400,20
Alaska,associates,University of Alaska Anchorage,49100,70400,10
Alaska,associates,University of Alaska Southeast,42100,61900,3
Arizona,bachelors,Embry-Riddle Aeronautical University-Prescott,65600,117900,43
Arizona,bachelors,University of Arizona,56100,101000,23
Arizona,bachelors,Arizona State University-Tempe,54500,100900,30
Arizona,bachelors,Northern Arizona University,49600,90000,12
Arizona,bachelors,Arizona Christian University,42600,76600,7
Arizona,bachelors,Ottawa University-Phoenix,42000,74600,0
Arizona,bachelors,Prescott College,41200,73500,0
Arizona,associates,Glendale Community College (Arizona),48900,74100,7
Arizona,associates,GateWay Community College,48400,70000,2
Arizona,associates,Mesa Community College,42600,66200,9
Arizona,associates,Cochise County Community College District,47500,65800,2
Arizona,associates,Rio Salado College,44200,64900,6
Arizona,associates,Phoenix College,42600,64300,5
Arizona,associates,Arizona Western College,42600,63100,4
Arizona,associates,Eastern Arizona College,43300,62700,1
Arizona,associates,Chandler-Gilbert Community College,42200,62500,11
Arizona,associates,Scottsdale Community College,42100,60700,7
Arizona,associates,Pima Community College,40800,60300,2
Arizona,associates,Paradise Valley Community College,39300,59900,6
Arizona,associates,Central Arizona College,40900,58800,1
Arizona,associates,Yavapai College,40100,57400,3
Arizona,associates,Mohave Community College,41500,56700,5
Arkansas,bachelors,University of Arkansas,52500,98000,18
Arkansas,bachelors,Hendrix College,48100,90300,33
Arkansas,bachelors,University of Arkansas for Medical Sciences,51700,89100,3
Arkansas,bachelors,Harding University,49200,88600,10
Arkansas,bachelors,John Brown University,47000,82700,9
Arkansas,bachelors,Arkansas State University-Main Campus,44600,81400,7
Arkansas,bachelors,University of Arkansas at Little Rock,45600,80800,13
Arkansas,bachelors,Ouachita Baptist University,44100,80200,18
Arkansas,bachelors,Southern Arkansas University Main Campus,42800,80100,53
