major,college_name,college_type,financial_aid,roi,total_cost
art,Stanford University(Private),private,1.0,716000,255000
art,Georgia Institute of Technology-Main Campus(In-State),instate,1.0,517000,101000
art,Fashion Institute of Technology(In-State),instate,1.0,443000,89000
art,Georgia Institute of Technology-Main Campus(Out-of-State),outofstate,1.0,438000,180000
art,Cornell University(Private),private,1.0,435000,258000
art,Harvard University(Private),private,1.0,433000,254000
art,Yale University(Private),private,1.0,427000,261000
art,California College of the Arts(Private),private,1.0,425000,237000
art,Columbia University in the City of New York(Private),private,1.0,424000,272000
art,University of California-Los Angeles(In-State),instate,1.0,420000,133000
art,San Jose State University(In-State),instate,1.0,408000,102000
art,Fashion Institute of Technology(Out-of-State),outofstate,1.0,407000,125000
art,University of Cincinnati-Main Campus(In-State),instate,1.0,400000,111000
art,Syracuse University(Private),private,1.0,396000,241000
art,Wellesley College(Private),private,1.0,393000,250000
art,University of California-Davis(In-State),instate,1.0,391000,136000
art,The New School(Private),private,1.0,378000,256000
art,Cooper Union for the Advancement of Science and Art(Private),private,1.0,376000,247000
art,California Polytechnic State University-San Luis Obispo(In-State),instate,1.0,370000,100000
art,San Jose State University(Out-of-State),outofstate,1.0,364000,147000
art,American University(Private),private,1.0,359000,239000
art,Laguna College of Art and Design(Private),private,1.0,359000,181000
art,Rhode Island School of Design(Private),private,1.0,359000,255000
art,North Carolina State University at Raleigh(In-State),instate,1.0,354000,90600
art,University of Virginia-Main Campus(In-State),instate,1.0,351000,114000
art,Otis College of Art and Design(Private),private,1.0,347000,233000
art,University of Michigan-Ann Arbor(In-State),instate,1.0,345000,110000
art,University of Cincinnati-Main Campus(Out-of-State),outofstate,1.0,339000,172000
art,University of Notre Dame(Private),private,1.0,339000,254000
art,Carnegie Mellon University(Private),private,1.0,337000,260000
art,Brigham Young University-Provo(Private),private,1.0,332000,71100
art,Northeastern University(Private),private,1.0,331000,247000
art,University of California-Santa Cruz(In-State),instate,1.0,329000,138000
art,University of California-Berkeley(In-State),instate,1.0,327000,139000
art,Wesleyan University(Private),private,1.0,327000,260000
art,California Polytechnic State University-San Luis Obispo(Out-of-State),outofstate,1.0,326000,145000
art,University of California-Los Angeles(Out-of-State),outofstate,1.0,323000,230000
art,Virginia Polytechnic Institute and State University(In-State),instate,1.0,319000,103000
art,San Francisco State University(In-State),instate,1.0,317000,97900
art,Brown University(Private),private,1.0,316000,257000
art,University of Washington-Seattle Campus(In-State),instate,1.0,314000,107000
art,Texas A & M University-College Station(In-State),instate,1.0,313000,97100
art,The College of New Jersey(In-State),instate,1.0,307000,127000
art,New York University(Private),private,1.0,305000,268000
