state_name,college_name,college_type,roi,total_cost,grad_rate,yrs2grad,financial_aid,loan_amt,perc_grant
ALABAMA,University of Alabama in Huntsville(In-State),instate,558000,96200,49,5,1.0,25000,25
ALABAMA,University of Alabama in Huntsville(Out-of-State),outofstate,512000,143000,49,5,1.0,25000,25
ALABAMA,Auburn University(In-State),instate,412000,115000,75,5,1.0,32200,13
ALABAMA,The University of Alabama(In-State),instate,366000,111000,69,5,1.0,38800,18
ALABAMA,Auburn University(Out-of-State),outofstate,343000,184000,75,5,1.0,32200,13
ALABAMA,Tuskegee University(Private),private,340000,140000,46,4,1.0,15400,89
ALABAMA,The University of Alabama(Out-of-State),outofstate,304000,173000,69,5,1.0,38800,18
ALABAMA,University of South Alabama(In-State),instate,296000,80600,38,5,1.0,41200,42
ALABAMA,Alabama A & M University(In-State),instate,272000,88500,27,5,1.0,39000,74
ALABAMA,Troy University(In-State),instate,272000,75000,37,5,1.0,27300,39
ALABAMA,University of South Alabama(Out-of-State),outofstate,269000,108000,38,5,1.0,41200,42
ALABAMA,University of Alabama at Birmingham(In-State),instate,255000,97400,53,5,1.0,27300,34
ALABAMA,Birmingham Southern College(Private),private,252000,191000,68,4,1.0,31600,21
ALABAMA,Troy University(Out-of-State),outofstate,245000,102000,37,5,1.0,27300,39
ALABAMA,Alabama A & M University(Out-of-State),outofstate,243000,118000,27,5,1.0,39000,74
ALABAMA,Samford University(Private),private,241000,172000,73,4,1.0,35800,11
ALABAMA,University of Alabama at Birmingham(Out-of-State),outofstate,216000,136000,53,5,1.0,27300,34
ALABAMA,Jacksonville State University(In-State),instate,202000,83700,35,5,1.0,28700,44
ALABAMA,Jacksonville State University(Out-of-State),outofstate,174000,112000,35,5,1.0,28700,44
ALABAMA,University of North Alabama(In-State),instate,168000,72300,43,5,1.0,16100,45
ALABAMA,Huntingdon College(Private),private,163000,141000,39,4,1.0,30900,48
ALABAMA,Auburn University at Montgomery(In-State),instate,161000,75100,23,6,1.0,22100,48
ALABAMA,Spring Hill College(Private),private,160000,198000,53,4,1.0,35200,31
ALABAMA,University of North Alabama(Out-of-State),outofstate,144000,96100,43,5,1.0,16100,45
ALABAMA,University of Mobile(Private),private,132000,139000,48,5,1.0,26800,42
ALABAMA,Judson College(Private),private,113000,121000,33,4,1.0,26300,57
ALABAMA,Auburn University at Montgomery(Out-of-State),outofstate,112000,124000,23,6,1.0,22100,48
ALABAMA,Faulkner University(Private),private,83900,128000,33,5,1.0,23400,54
ALABAMA,University of West Alabama(In-State),instate,71000,76000,31,5,1.0,27800,55
ALABAMA,Southeastern Bible College(Private),private,64700,81100,36,5,1.0,22900,67
ALABAMA,Alabama State University(In-State),instate,64200,75300,22,5,1.0,26500,75
ALABAMA,University of West Alabama(Out-of-State),outofstate,43200,104000,31,5,1.0,27800,55
ALABAMA,Alabama State University(Out-of-State),outofstate,36500,103000,22,5,1.0,26500,75
ALABAMA,University of Montevallo(In-State),instate,16200,99200,50,5,1.0,25500,42
ALABAMA,Oakwood University(Private),private,11300,144000,47,5,1.0,35200,55
ALABAMA,University of Montevallo(Out-of-State),outofstate,-27700,143000,50,5,1.0,25500,42
ALABAMA,Stillman College(Private),private,-48900,98700,18,5,1.0,15200,88
ALABAMA,Talladega College(Private),private,-119300,88200,43,4,1.0,23500,80
ALABAMA,Miles College(Private),private,-140900,90200,17,4,1.0,26000,89
ALABAMA,University of Alabama in Huntsville(In-State),instate,518000,96200,49,5,0.0,N/A,N/A
ALABAMA,University of Alabama in Huntsville(Out-of-State),outofstate,471000,143000,49,5,0.0,N/A,N/A
ALABAMA,Auburn University(In-State),instate,376000,115000,75,5,0.0,N/A,N/A
ALABAMA,Tuskegee University(Private),private,308000,140000,46,4,0.0,N/A,N/A
ALABAMA,Auburn University(Out-of-State),outofstate,307000,184000,75,5,0.0,N/A,N/A
ALABAMA,The University of Alabama(In-State),instate,306000,111000,69,5,0.0,N/A,N/A
ALABAMA,University of South Alabama(In-State),instate,270000,80600,38,5,0.0,N/A,N/A
ALABAMA,The University of Alabama(Out-of-State),outofstate,245000,173000,69,5,0.0,N/A,N/A
ALABAMA,Alabama A & M University(In-State),instate,242000,88500,27,5,0.0,N/A,N/A
ALABAMA,University of South Alabama(Out-of-State),outofstate,242000,108000,38,5,0.0,N/A,N/A
ALABAMA,Troy University(In-State),instate,233000,75000,37,5,0.0,N/A,N/A
